半年	bànnián	Half a year
佛教	fójiào	Buddhism
描述	miáoshù	describe
生活方式	shēnghuó fāngshì	lifestyle
不管穷富	bùguǎn qióngfù	no matter rich or poor
搞乱	gǎoluàn	to confuse
获奖小说	huòjiǎng xiǎoshuō	Awarded novel
眼睛亮了	yǎnjīng liàng le	star eyes 🤩
安身立命之本	ānshēnlìmìng zhī běn	The essence of life
心理咨询师	xīnlǐzīxún shī	mental health therapist
天文望远镜	tiānwén wàngyuǎnjìng	telescope
泛音列	fànyīn liè	Overtone series
责任	zérèn	responsibility
华尔兹	huáěrzī	Walz
纯素食	chún sùshí	vegan
日常生活	rìchángshēnghuó	Daily life
高低起伏 	gāodī qǐfú  	ups and downs
删除	shānchú	delete
虚弱	xūruò	weak, frail, feeble
时间不够	shíjiān bùgòu	not enough time
钱不够	qián bùgòu	Insufficient money
存起来	cún qǐlai	save
钟头	zhōngtóu	an hour
享受	xiǎngshòu	to enjoy
不论	bùlùn	whether
哲学	zhéxué	philosophy
人生目标	rénshēngmùbiāo	life goals
友情	yǒuqíng	Friendship
瞎扯蛋	xiāchě dàn	to talk irresponsibly/nonsense (vulgar), lit. "to pull on your testicles aimlessly", 吓扯蛋 is a homonym/Internet meme
缺少睡眠	quēshǎo shuìmián	Lack of sleep
分享	fēnxiǎng	to share
接受道歉/缺点/ 事实/ 新的想法	jiēshòu dàoqiàn / quēdiǎn /   shìshí /   xīn de xiǎngfǎ	Accept apology/ disadvantages/ facts/ new ideas
感人	gǎnrén	Touching
手腕	shǒuwàn	wrist
高级	gāojí	advanced/ fancy
描写语言学	miáoxiě yǔyánxué	descriptivist linguistics
朋友们	péngyou men	friends
养猫	yǎngmāo	Cat
抑郁症	yìyùzhèng	depression
法律责任	fǎlǜzérèn	legal liability
告诉	gàosù	Tell
习惯	xíguàn	habit/ get used to
直播	zhíbō	live streaming
我觉得很冷/热/不舒服	wǒ juéde hěn lěng / rè / bù shūfu	I feel cold/ hot/under the weather
分析	fēnxī	analyze
亲密关系	qīnmìguānxì	Intimate relationship
疲劳	píláo	fatigue
我在说我的一个朋友	wǒ zài shuō wǒ de yīgè péngyou	I'm talking about a friend of me
体谅	tǐliàng	considerate(?)
逗号（，）	dòuhào （, ）	comma(,)
在内心深处	zài nèixīnshēnchù	deep down
友谊	yǒuyì	friendship
种下了一颗种子	zhǒngxià le yīkē zhǒngzi	planted a seed
给你看	gěi nǐ kàn	show you
天然	tiānrán	natural
很可惜	hěn kěxī	unfortunately
淡水	dànshuǐ	freshwater
石家庄	shíjiāzhuāng	Shijiazhuang (capital of Hebei province)
纳粹	nàcuì	Nazi
特色菜	tèsècài	Featured dishes
幽默感	yōumògǎn	sense of humor
逻辑关系	luójíguānxì	Logical connection
竞争	jìngzhēng	compete/ competition
幸福感	xìngfúgǎn	Happiness
学武术	xué wǔshù	to learn martial arts
武术	wǔshù	Martial arts
是他的损失	shì tā de sǔnshī	It's his loss
句号（。）	jùhào （. ）	period(.)
感应	gǎnyìng	to sense
忍着	rěnzhe	to endure
可数	kěshǔ	countable
打折	dǎzhé	(things) have a discount
光谱	guāngpǔ	spectrum
生命	shēngmìng	life form
得去个洗手间	dé qù gè xǐshǒujiān	Have to go to a bathroom
咒语	zhòuyǔ	spell/ incantation
神圣性	shénshèng xìng	sacredness/sanctity
定义	dìngyì	definition
纯洁性	chúnjiéxìng	Purity
相处	xiāngchǔ	get along
E人/ 外向的人	e rén /   wàixiàng de rén	extrovert
祖传	zǔchuán	Handed down from one's ancestors
获得赞美/ 一个奖🏆	huòdé zànměi /   yīgè jiǎng 🏆	Get praise/ a prize/
我很羡慕！	wǒ hěn xiànmù!	I'm jealous
撒谎	sāhuǎng	lie
乱说乱动	luànshuōluàndòng	to speak and act in an irresponsible way
日料	rìliào	Japanese food
搞笑	gǎoxiào	funny
希望	xīwàng	hope
感到开心/ 难过	gǎndào kāixīn /   nánguò	feel happy/ sad
简单来说	jiǎndān láishuō	simply put
月薪	yuèxīn	Monthly salary
蒙古族	měnggǔzú	Mongols
I人/ 内向的人	i rén /   nèixiàng de rén	introvert
叫	jiào	to meow/ bark/ snarl/ roar etc...
限制	xiànzhì	limit
不可数	bùkěshǔ	uncountable
付出	fùchū	pay
胡说八道	húshuōbādào	to talk nonsense "without foundation or justification"
独立	dúlì	independent
不自在	bùzìzai	self-conscious
主角	zhǔjué	main character
画画	huàhuà	draw
