沈朗天	Elliot Sanborn
赔钱 	compensate (with money)
天使 	Angel 
土茴香籽 	cumin
香料	spices
素食	vegetarian diet
腐烂	rot
犹太人	Jewish person
律法	religious law
犹太洁食	kosher
清真	halaal
伊斯兰教	islam
种姓制度	Caste System
合唱团	choir
新教	Protestant
天主教	Catholicism
教会	Church
道德	Morality
主教	bishop
性丑闻	Sex scandal
最后一根稻草	The last straw
围裙	apron
芸薹属	Brassicas
与其...不如...	How about .... instead of...?
你与其每天不高兴，还不如做做让你开心的事情。	Instead of being unhappy every day, you might as well do things that make you happy.
句号（。）	period(.)
省略号（……）	ellipses
逗号（，）	comma(,)
松鼠🐿️	Squirrel 🐿 ️
跟一个朋友说话	Talk to a friend
我在说我的一个朋友	I'm talking about a friend of me
持续	to last
跟一位我们共同的朋友约会	Dating with a friend of us
给你看	show you
生命	life form
寿命	life expectancy
人生	Life
人生意义	Meaning of life
人生目标	life goals
习惯	habit/ get used to
半年	Half a year
纳粹	Nazi
描述	describe
陌生人	stranger
灵魂	soul
删除	delete
足够的时间	Enough time
时间不够	not enough time
钱不够	Insufficient money
动词	verb
缺少睡眠	Lack of sleep
人才	Talent
竞争	compete/ competition
优点	advantage
I人/ 内向的人	introvert
咬	bite
舔	lick
伤口	Wound
接受道歉/缺点/ 事实/ 新的想法	Accept apology/ disadvantages/ facts/ new ideas
收到礼物/ 快递	Receive gifts/ packages
获得赞美/ 一个奖🏆	Get praise/ a prize/
获奖小说	Awarded novel
E人/ 外向的人	extrovert
非洲舞	African dance
摇摆舞	Swing dance
华尔兹	Walz
舞蹈课	dance class
限制	limit
时间限制	time limit
一会儿	for a short period of time
种下了一颗种子	planted a seed
适应	adapt
不自在	self-conscious
乐观	optimistic
到底+question word	what/ who/ where etc + on earth?
在内心深处	deep down
抑郁症	depression
描写语言学	descriptivist linguistics
简单来说	simply put
总的来说	In general
咪雅	Miya (cat)
养猫	Cat
分析	analyze
朋友们	friends
家人们	family/ an endearment to address an audience 
人们	people
友谊	friendship
新鲜感	Freshness
幸福感	Happiness
幽默感	sense of humor
光谱	spectrum
容忍（坏的东西）	tolerate
感到开心/ 难过	feel happy/ sad
我觉得很冷/热/不舒服	I feel cold/ hot/under the weather
恐惧	fear
一首诗	A poem
感人	Touching
心理咨询师	mental health therapist
感应器	sensor
感应	to sense
我很羡慕！	I'm jealous
友情	Friendship
亲情	family love/ kinship
爱情	love
永远	forever
基础	basic/ foundation
逻辑关系	Logical connection
热心	helpful
否定	to deny/ negative form
道家	taoist philosophy
哲学	philosophy
西方	The west
嬉皮士	hippie
恒星	star (恒=永远的，不变的，不动的)
行星	planet
流星	meteor
天文望远镜	telescope
月薪	Monthly salary
时薪	Hourly salary
加班费	Overtime fee
眼睛亮了	star eyes 🤩
很可惜	unfortunately
得去个洗手间	Have to go to a bathroom
泛音唱法	overtone singing
泛音列	Overtone series
图瓦人	Tuvans
弦	string (of a musical instrument)
振动	vibration
可数	countable
不可数	uncountable
傻逼	dumbass
年龄	age
双胞胎	twin
伴侣	companion
告诉	Tell
周年纪念	Anniversary
黄金法则	the Golden Rule
圣经	Bible
己所不欲，勿施于人	"Do unto others as you would have them do unto you: 欲=想，勿=不要，施=to act on，于=对"
你找对象吗？	Are you looking for a boyfriend/ girlfriend?
找原因	find the reason
解释原因	explain the reason
互相喜欢	Like each other
相爱	Fall in love
互相帮忙	Help each other
互相理解	Understand each other
互相吸引	attract each other
微信群	WeChat group
生物学	biology
在饮食上	In diet
在生活上	in life
在工作上	at work
方面	aspect
隐喻	metaphor
志向	ambition
很烦	annoyed/ annoying
锣	gong
召唤	summon / call
让人放松	relaxing
说到	Speaking of
数	to count
希腊语	Greek
希伯来语	Hebrew
意第绪语	yedish
阿拉伯语	Arabic
越南语	Vietnamese
泰语	Thai
移民	to immigrate/ immigrant
二代移民	Second -generation immigrants
初中	junior high school
价值观	values
酒肉朋友	fair-weather friends
变老了	Get older
对他们很热情	warm-hearted/ actively friendly to them
读书会	book club
音乐会	concert
不可描述	obscene/ to have sex (humour)
教科书	textbook
注释	Annotation
解读	Interpretation
痛苦	pain
聊	chat about
说	talk about
摆拍的照片	staged photo
成为	become (a new identity)
主语	subject
主动	actively
基因	Gene
网上购物/ 网购	Online shopping/ online shopping
购物狂	Shopaholic
工作狂	Workaholic
开聚会	hold a gathering
插队	Cut into line
插	insert, to plug
反应	react/ reaction
适应新环境	Adapt to the new environment
无论+question	no matter
客观	objective
欺负	Bully
平时	normally
副词	adverb
格格不入	Incompatible (with a group of people)
试试	try doing
尝尝	try (eating)
交朋友	make friends
交通工具	Transportation
交税	Pay taxes
交网费	Pay the online fee
分开付	split the bill
出去逛逛	Go out for a stroll
一封信	A letter
发短信	Send a text message
发微信	Send WeChat
发邮件	send email
发帖子	send a post
一美分	one cent
恰好	coincidentally/ exactly
可惜	unfortunately
跟他们更熟悉了	know them better
跟他们关系更好了	have better relationship with them
朋友之间	between friends
我给丽莎介绍了跟我一起唱歌的朋友	I introduced Lisa to the friend who sang with me
熬夜	stay up
糖尿病	diabetes
高血压	high blood pressure
谣言	rumor
俗语	saying
荒郊	wilderness
后果很严重	Very serious consequences
山脉	mountain range
山脊	mountain ridge
野外	the wild
开派对	have a party
新冠病毒	coronavirus
