飒	wind
麸	bran
乂	govern
乇	grass
乩	divine
亍	step
斋	fasting
亢	overbearing
仕	official
兀	towering
兮	particle
冋	archaic
冏	bright
冼	surname
凊	cold
匜	washbasin
匡	rectify
卟	organic compound
卬	I, me
卯	mortise
厄	distressed
囚	prisoner
尧	Yao (surname and legendary emperor)
壬	ninth
変	change
夌	dawdle
屯	station
岀	out
巫	shaman
巿	market
弑	patricide
弘	great
彖	divination
彦	accomplished
徐	slowly
扉	single-leaf door
扱	collect
攰	exhausted
攲	uneven
毙	die
斌	gentleman
斓	colorful
斛	measuring vessel
晩	evening
皓	bright
歆	pleased
歾	to end
殆	dangerous
殉	to die for a cause
殷	abundant
毡	felt
氢	hydrogen
氲	misty
氽	to float
卤	brine
瀣	mist
牟	seek
牤	bull
犮	pull
犷	rough
玆	this
莹	luster
玺	seal
珑	tinkling
瓢	dipper
瓮	pottery container
罂	earthen jar
甡	multitude
甥	nephew
甫	barely
甬	river path
甸	suburbs
疍	variant
疔	boil
癸	tenth
皁	black
皲	chap
盂	basin
卢	Lu
矜	boast
矣	final particle
矬	short
矫	to correct
硌	to press against
硏	research
磺	sulfur
祭	sacrifice
禹	Yu the Great
禺	monkey
竿	pole
笛	flute
簧	reed
羚	antelope
翁	elderly man
翠	bluish-green
耄	aged
耔	hoeing
耘	weeding
聆	listening
聒	raucous
肄	learn
肇	origin
胥	all
臬	guidepost
臻	utmost
臾	moment
舀	ladle
舂	pound
舐	lick
舜	Shun
舫	boat
茬	stubble
虔	reverent
蚊	mosquito
蚤	flea
袄	coat
覃	deep
豁	opening
豉	fermented beans
豌	peas
豚	pig
豹	leopard
豺	jackal
贞	chaste
赦	pardon
赫	awe-inspiring
轧	to crush
邕	river
邦	country
釉	glaze
靖	peaceful
靓	beautiful
靡	waste
腼	bashful
靥	dimple
靴	boots
韩	Korea
韫	contain
韵	rhyme
飓	hurricane
馗	crossroads
馥	fragrance
馨	fragrant
驹	colt
骇	astonish
鬃	mane
骰	dice
骷	skeleton
骸	bones
鬓	temples
鬴	cooking pot
鬵	cauldron
鬷	kettle
鲑	salmon
麋	moose
麒	mythical creature
麓	foot of a hill
麾	signal flag
黏	sticky
黔	Guizhou province
黛	eyebrow dye
鼋	sea turtle
齁	snore
龅	protruding teeth
