毛巾	máojīn	/towel/CL:條|条[tiao2]/
美丽	měilì	/beautiful/
梦	mèng	/dream (CL:場|场[chang2],個|个[ge4])/(bound form) to dream/
迷路	mílù	/to lose the way/lost/labyrinth/labyrinthus vestibularis (of the inner ear)/
密码	mìmǎ	/cipher; secret code/password; PIN/
免费	miǎnfèi	/free (of charge)/
秒	miǎo	/second (unit of time)/arc second (angular measurement unit)/(coll.) instantly/
民族	mínzú	/nationality; ethnic group/CL:個|个[ge4]/
母亲	mǔqīn	/mother/also pr. [mu3 qin5]/CL:個|个[ge4]/
目的	mùdì	/purpose; aim; goal; target; objective/CL:個|个[ge4]/
耐心	nàixīn	/to be patient/patience/
难道	nándào	/don't tell me .../could it be that...?/
难受	nánshòu	/to feel unwell/to suffer pain/to be difficult to bear/
内	nèi	/inside/inner/internal/within/interior/
内容	nèiróng	/content/substance/details/CL:個|个[ge4],項|项[xiang4]/
能力	nénglì	/capability/ability/CL:個|个[ge4]/
年龄	niánlíng	/(a person's) age/CL:把[ba3],個|个[ge4]/
弄	nòng	/variant of 弄[long4]/
暖和	nuǎnhuo	/warm/nice and warm/
偶尔	ǒu’ěr	/occasionally/once in a while/sometimes/
排队	páiduì	/to line up/
排列	páiliè	/to arrange in order/(math.) permutation/
判断	pànduàn	/to judge/to determine/judgment/
陪	péi	/to accompany/to keep sb company/to assist/old variant of 賠|赔[pei2]/
批评	pīpíng	/to criticize; criticism/CL:次[ci4],番[fan1]/
皮肤	pífū	/skin/CL:層|层[ceng2],塊|块[kuai4]/
脾气	píqi	/character; temperament; disposition/bad temper/CL:股[gu3]/
篇	piān	/sheet/piece of writing/bound set of bamboo slips used for record keeping (old)/classifier for written items: chapter, article/
骗	piàn	/to cheat/to swindle/to deceive/to get on (a horse etc) by swinging one leg over/
乒乓球	pīngpāngqiú	/table tennis/ping-pong/table tennis ball/CL:個|个[ge4]/
平时	píngshí	/ordinarily/in normal times/in peacetime/
破	pò	/broken/damaged/worn out/lousy/rotten/to break, split or cleave/to get rid of/to destroy/to break with/to defeat/to capture (a city etc)/to expose the truth of/
葡萄	pútao	/grape/
普遍	pǔbiàn	/universal/general/widespread/common/
普通话	pǔtōnghuà	/Mandarin (common language)/Putonghua (common speech of the Chinese language)/ordinary speech/
其次	qícì	/next/secondly/
其中	qízhōng	/among/in/included among these/
气候	qìhòu	/(meteorology) climate/(fig.) climate; prevailing conditions (in human affairs)/CL:種|种[zhong3]/
千万	qiānwàn	/ten million/countless/many/one must by all means/
签证	qiānzhèng	/visa/to issue a visa/
敲	qiāo	/to hit/to strike/to tap/to rap/to knock/to rip sb off/to overcharge/
桥	qiáo	/bridge/CL:座[zuo4]/
巧克力	qiǎokèlì	/chocolate (loanword)/CL:塊|块[kuai4]/
亲戚	qīnqi	/a relative (i.e. family relation)/CL:門|门[men2],個|个[ge4],位[wei4]/
轻	qīng	/light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/to disparage/
轻松	qīngsōng	/light/gentle/relaxed/effortless/uncomplicated/to relax/to take things less seriously/
情况	qíngkuàng	/circumstances; state of affairs; situation/CL:個|个[ge4],種|种[zhong3]/
穷	qióng	/poor/destitute/to use up/to exhaust/thoroughly/extremely/(coll.) persistently and pointlessly/
区别	qūbié	/difference/to distinguish/to discriminate/to make a distinction/CL:個|个[ge4]/
取	qǔ	/to take/to get/to choose/to fetch/
全部	quánbù	/whole; all/
缺点	quēdiǎn	/weak point/fault/shortcoming/disadvantage/CL:個|个[ge4]/
缺少	quēshǎo	/lack/shortage of/shortfall/to be short (of)/to lack/
却	què	/but/yet/however/while/to go back/to decline/to retreat/nevertheless/even though/
确实	quèshí	/indeed/really/reliable/real/true/
然而	rán’ér	/however; but; yet/
热闹	rènao	/bustling with noise and excitement/lively/
任何	rènhé	/any; whatever; whichever/
任务	rènwu	/mission; assignment; task; duty; role/CL:項|项[xiang4],個|个[ge4]/
扔	rēng	/to throw/to throw away/
仍然	réngrán	/still; as before; yet/
日记	rìjì	/diary/CL:則|则[ze2],本[ben3],篇[pian1]/
入口	rùkǒu	/entrance/to import/
散步	sànbù	/to take a walk; to go for a walk/
森林	sēnlín	/forest/CL:片[pian4]/
沙发	shāfā	/sofa (loanword)/CL:條|条[tiao2],張|张[zhang1]/(Internet slang) the first reply or replier to a forum post/
商量	shāngliang	/to consult/to talk over/to discuss/
伤心	shāngxīn	/to grieve/to be broken-hearted/to feel deeply hurt/
稍微	shāowēi	/a little bit/
勺子	sháozi	/scoop/ladle/CL:把[ba3]/
社会	shèhuì	/society/CL:個|个[ge4]/
深	shēn	/deep (lit. and fig.)/
申请	shēnqǐng	/to apply for sth/application form (CL:份[fen4])/
甚至	shènzhì	/even; so much so that/
生活	shēnghuó	/to live/life/livelihood/
生命	shēngmìng	/life (as the characteristic of living beings)/living being; creature (CL:個|个[ge4],條|条[tiao2])/
生意	shēngyi	/business/CL:筆|笔[bi3]/
省	shěng	/(bound form) to scrutinize/(bound form) to reflect (on one's conduct)/(bound form) to come to realize/(bound form) to pay a visit (to one's parents or elders)/
剩	shèng	/to remain/to be left/to have as remainder/
