毛巾	/towel/CL:條|条[tiao2]/
美丽	/beautiful/
梦	/dream (CL:場|场[chang2],個|个[ge4])/(bound form) to dream/
迷路	/to lose the way/lost/labyrinth/labyrinthus vestibularis (of the inner ear)/
密码	/cipher; secret code/password; PIN/
免费	/free (of charge)/
秒	/second (unit of time)/arc second (angular measurement unit)/(coll.) instantly/
民族	/nationality; ethnic group/CL:個|个[ge4]/
母亲	/mother/also pr. [mu3 qin5]/CL:個|个[ge4]/
目的	/purpose; aim; goal; target; objective/CL:個|个[ge4]/
耐心	/to be patient/patience/
难道	/don't tell me .../could it be that...?/
难受	/to feel unwell/to suffer pain/to be difficult to bear/
内	/inside/inner/internal/within/interior/
内容	/content/substance/details/CL:個|个[ge4],項|项[xiang4]/
能力	/capability/ability/CL:個|个[ge4]/
年龄	/(a person's) age/CL:把[ba3],個|个[ge4]/
弄	/variant of 弄[long4]/
暖和	/warm/nice and warm/
偶尔	/occasionally/once in a while/sometimes/
排队	/to line up/
排列	/to arrange in order/(math.) permutation/
判断	/to judge/to determine/judgment/
陪	/to accompany/to keep sb company/to assist/old variant of 賠|赔[pei2]/
批评	/to criticize; criticism/CL:次[ci4],番[fan1]/
皮肤	/skin/CL:層|层[ceng2],塊|块[kuai4]/
脾气	/character; temperament; disposition/bad temper/CL:股[gu3]/
篇	/sheet/piece of writing/bound set of bamboo slips used for record keeping (old)/classifier for written items: chapter, article/
骗	/to cheat/to swindle/to deceive/to get on (a horse etc) by swinging one leg over/
乒乓球	/table tennis/ping-pong/table tennis ball/CL:個|个[ge4]/
平时	/ordinarily/in normal times/in peacetime/
破	/broken/damaged/worn out/lousy/rotten/to break, split or cleave/to get rid of/to destroy/to break with/to defeat/to capture (a city etc)/to expose the truth of/
葡萄	/grape/
普遍	/universal/general/widespread/common/
普通话	/Mandarin (common language)/Putonghua (common speech of the Chinese language)/ordinary speech/
其次	/next/secondly/
其中	/among/in/included among these/
气候	/(meteorology) climate/(fig.) climate; prevailing conditions (in human affairs)/CL:種|种[zhong3]/
千万	/ten million/countless/many/one must by all means/
签证	/visa/to issue a visa/
敲	/to hit/to strike/to tap/to rap/to knock/to rip sb off/to overcharge/
桥	/bridge/CL:座[zuo4]/
巧克力	/chocolate (loanword)/CL:塊|块[kuai4]/
亲戚	/a relative (i.e. family relation)/CL:門|门[men2],個|个[ge4],位[wei4]/
轻	/light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/to disparage/
轻松	/light/gentle/relaxed/effortless/uncomplicated/to relax/to take things less seriously/
情况	/circumstances; state of affairs; situation/CL:個|个[ge4],種|种[zhong3]/
穷	/poor/destitute/to use up/to exhaust/thoroughly/extremely/(coll.) persistently and pointlessly/
区别	/difference/to distinguish/to discriminate/to make a distinction/CL:個|个[ge4]/
取	/to take/to get/to choose/to fetch/
全部	/whole; all/
缺点	/weak point/fault/shortcoming/disadvantage/CL:個|个[ge4]/
缺少	/lack/shortage of/shortfall/to be short (of)/to lack/
却	/but/yet/however/while/to go back/to decline/to retreat/nevertheless/even though/
确实	/indeed/really/reliable/real/true/
然而	/however; but; yet/
热闹	/bustling with noise and excitement/lively/
任何	/any; whatever; whichever/
任务	/mission; assignment; task; duty; role/CL:項|项[xiang4],個|个[ge4]/
扔	/to throw/to throw away/
仍然	/still; as before; yet/
日记	/diary/CL:則|则[ze2],本[ben3],篇[pian1]/
入口	/entrance/to import/
散步	/to take a walk; to go for a walk/
森林	/forest/CL:片[pian4]/
沙发	/sofa (loanword)/CL:條|条[tiao2],張|张[zhang1]/(Internet slang) the first reply or replier to a forum post/
商量	/to consult/to talk over/to discuss/
伤心	/to grieve/to be broken-hearted/to feel deeply hurt/
稍微	/a little bit/
勺子	/scoop/ladle/CL:把[ba3]/
社会	/society/CL:個|个[ge4]/
深	/deep (lit. and fig.)/
申请	/to apply for sth/application form (CL:份[fen4])/
甚至	/even; so much so that/
生活	/to live/life/livelihood/
生命	/life (as the characteristic of living beings)/living being; creature (CL:個|个[ge4],條|条[tiao2])/
生意	/business/CL:筆|笔[bi3]/
省	/(bound form) to scrutinize/(bound form) to reflect (on one's conduct)/(bound form) to come to realize/(bound form) to pay a visit (to one's parents or elders)/
剩	/to remain/to be left/to have as remainder/
失败	/to be defeated/to lose/to fail (e.g. experiments)/failure/defeat/CL:次[ci4]/
失望	/disappointed/to lose hope/to despair/
师傅	/master/qualified worker/respectful form of address for older men/CL:個|个[ge4],位[wei4],名[ming2]/
十分	/very/completely/utterly/extremely/absolutely/hundred percent/to divide into ten equal parts/
实际	/reality/practice/practical/realistic/real/actual/
实在	/really/actually/indeed/true/real/honest/dependable/(philosophy) reality/
使	/to make/to cause/to enable/to use/to employ/to send/to instruct sb to do sth/envoy/messenger/
使用	/to use/to employ/to apply/to make use of/
是否	/whether (or not)/if/is or isn't/
适合	/to fit; to suit/
适应	/to adapt/to fit/to suit/
世纪	/century/CL:個|个[ge4]/
收	/to receive/to accept/to collect/to put away/to restrain/to stop/in care of (used on address line after name)/
收入	/to take in/income/revenue/CL:筆|笔[bi3],個|个[ge4]/
收拾	/to put in order/to tidy up/to pack/to repair/(coll.) to sort sb out/to fix sb/
首都	/capital (city)/CL:個|个[ge4]/
首先	/first (of all)/in the first place/
受不了	/unbearable/unable to endure/can't stand/
受到	/to receive (praise, an education, punishment etc)/to be ...ed (praised, educated, punished etc)/
售货员	/salesperson/CL:個|个[ge4]/
输	/to lose; to be beaten/(bound form) to transport/(literary) to donate; to contribute/(coll.) to enter (a password)/
