随和	easy going; amiable; easygoing
百分位数	percentile; percentile (statistics)
红楼梦	Dream of the Red Chamber; A Dream of Red Mansions (first completed edition 1791) by Cao Xueqin 曹雪芹[cáo Xuě qín], one of the four great novels
耳塞	earplugs; earplug; earphone
加湿器	humidifier
特产	specialty; special local product/(regional) specialty
开胃	mooch food; to whet the appetite; appetizing; to amuse oneself at sb's expense; to tease
蹭饭	Eat for free; (coll.) to mooch a meal
失礼行为	discourteous behavior
共同富裕	common prosperity
低-高	low-high
山丘	hills; hill
概率	Probability; probability (math.)
章鱼	octopus
