飒	sound of wind; valiant; melancholy
麸	bran
乂	to regulate/to govern/to control/to mow
乇	"blade of grass" component in Chinese characters
乩	to divine
亍	to step with the right foot (used in 彳亍[chi4 chu4])
斋	to fast or abstain from meat, wine etc; vegetarian diet; study room; building; to give alms (to a monk)
亢	surname Kang; Kang, one of the 28 constellations; high; overbearing; excessive
仕	to serve as an official/an official/the two chess pieces in Chinese chess guarding the "general" or "king" 將|将[jiang4]
兀	surname Wu; cut off the feet; rising to a height; towering; bald
兮	(particle in old Chinese similar to 啊)
冋	archaic variant of 坰[jiong1]
冏	velvetleaf (Abutilon avicennae), plant of the jute family/bright
冼	surname Xian
凊	(literary) cold; cool; chilly
匜	washbasin with a tubular handle
匡	surname Kuang; to rectify
卟	used in the transliteration of the names of organic compounds porphyrin 卟啉[bu3 lin2] and porphin 卟吩[bu3 fen1]
卬	surname Ang; I (regional colloquial); me; variant of 昂[ang2]
卯	mortise (slot cut into wood to receive a tenon); 4th earthly branch: 5-7 a.m., 2nd solar month (6th March-4th April), year of the Rabbit; ancient Chinese compass point: 90° (east); variant of 鉚|铆[mao3]; to exert one's strength
厄	distressed
囚	prisoner
尧	surname Yao/Yao or Tang Yao (c. 2200 BC), one of Five legendary Emperors 五帝[wu3 di4], second son of Di Ku 帝嚳|帝喾[Di4 Ku4]
壬	ninth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/ninth in order/letter "I" or Roman "IX" in list "A, B, C", or "I, II, III" etc/ancient Chinese compass point: 345°/nona
変	Japanese variant of 變|变[bian4]
夌	to dawdle/the name of the father of the Emperor Yao
屯	to station (soldiers); to store up; village||used in 屯邅[zhun1zhan1]
岀	old variant of 出[chu1]
巫	surname Wu; also pr. [Wu2]; witch; wizard; shaman; also pr. [wu2]
巿	see 韍|韨[fu2]
弑	to murder a superior/to murder one's parent
弘	great/liberal
彖	to foretell the future using the trigrams of the Book of Changes 易經|易经
彦	accomplished/elegant
徐	surname Xu; slowly; gently
扉	door with only one leaf
扱	to collect/to receive
攰	totally exhausted (Cantonese)/Mandarin equivalent: 累[lei4]
攲	up/uneven
毙	to die; to shoot dead; to reject; to fall forward; (suffix) to death; to collapse; variant of 斃|毙[bi4]; variant of 獙[bi4]
斌	variant of 彬[bin1]
斓	used in 斑斕|斑斓[ban1 lan2]
斛	ancient measuring vessel/fifty liters/dry measure for grain equal to five dou 五斗 (before Tang, ten pecks)
晩	variant of 晚[wan3]
皓	bright; luminous; white (esp. bright white teeth of youth or white hair of old age)
歆	pleased/moved
歾	to end/to die
殆	(literary) dangerous; perilous/(literary) almost; well-nigh
殉	to be buried with the dead/to die for a cause
殷	surname Yin; dynasty name at the end the Shang dynasty, after their move to Yinxu 殷墟 in modern Henan province||dark red||flourishing; abundant; earnest; hospitable||roll of thunder
毡	felt (fabric)
氢	hydrogen (chemistry)
氲	used in 氤氳|氤氲[yin1 yun1]
氽	to float/to deep-fry
卤	to stew in soy sauce and spices; alkaline soil; salt; brine; halogen (chemistry); crass; stupid
瀣	mist/vapor
牟	surname Mou||see 牟平[Mu4 ping2]||barley; to moo; to seek or obtain; old variant of 侔[mou2]; old variant of 眸[mou2]
牤	bull/see 牤牛[mang1 niu2]
犮	/old variant of 拔[ba2]/
犷	rough/uncouth/boorish
玆	variant of 茲|兹[zi1]/now/here/this/time/year
莹	luster of gems
玺	ruler's seal
珑	tinkling of gem-pendants
瓢	dipper/ladle
瓮	surname Weng; pottery container for water, wine etc
罂	earthen jar with small mouth
甡	multitude/crowd
甥	sister's son; nephew
甫	(classical) barely/just/just now
甬	Yong River 甬江[Yong3 Jiang1] in Ningbo 寧波|宁波[Ning2 bo1]; short name for Ningbo; path screened by walls on both sides
甸	surname Dian; suburbs or outskirts; one of the five degrees of official mourning attire in dynastic China; official in charge of fields (old)
疍	variant of 蜑[Dan4]
疔	boil/carbuncle
癸	tenth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/tenth in order/letter "J" or Roman "X" in list "A, B, C", or "I, II, III" etc/ancient Chinese compass point: 15°/deca
皁	black/police runners, from the black clothes formerly worn by them
皲	to chap
盂	basin/wide-mouthed jar or pot
卢	surname Lu; abbr. for Luxembourg 盧森堡|卢森堡[Lu2 sen1 bao3]; (old) rice vessel; black; old variant of 廬|庐[lu2]; (slang) (Tw) troublesome; fussy
矜	to boast/to esteem/to sympathize
矣	classical final particle, similar to modern 了[le5]
矬	short/dwarfish
矫	surname Jiao||used in 矯情|矫情[jiao2 qing5]||to correct; to rectify; to redress; strong; brave; to pretend; to feign; affectation
硌	(coll.) (of sth hard or rough) to press against some part of one's body causing discomfort (like a small stone in one's shoe)/to hurt/to chafe
硏	variant of 研[yan2]
磺	sulfur
祭	surname Zhai||to offer a sacrifice to (gods or ancestors); memorial ceremony; (in classical novels) to recite an incantation to activate a magic weapon; (lit. and fig.) to wield
禹	Yu the Great (c. 21st century BC), mythical leader who tamed the floods/surname Yu
禺	ancient area||legendary monkey of ancient China
竿	pole
笛	flute
簧	metallic reed/spring of lock
羚	antelope
翁	surname Weng; elderly man; father; father-in-law; neck feathers of a bird (old)
翠	bluish-green/green jade
耄	extremely aged (in one's 80s or 90s)/octogenarian/nonagenarian
耔	hoe up soil around plants
耘	to weed
聆	(literary) to hear; to listen
聒	raucous/clamor/unpleasantly noisy
肄	to learn/to practice or study (old)
肇	at first; devise; originate; the start; the origin
胥	surname Xu; all; assist; to store
臬	guidepost/rule/standard/limit/target (old)
臻	to arrive/to reach (esp. perfection)/utmost/(used in commercials)
臾	surname Yu; a moment; little while
舀	to ladle out; to scoop up
舂	to pound (grain)/beat
舐	to lick/to lap (up)
舜	Shun (c. 23rd century BC), mythical sage and leader
舫	2 boats lashed together/large boat
茬	stubble land after crop has been taken/a second crop obtained by rotation of land/an opportunity
虔	to act with reverence/reverent
蚊	mosquito
蚤	flea
袄	coat/jacket/short and lined coat or robe
覃	surname Qin||surname Tan||deep
豁	to play Chinese finger-guessing game||opening; stake all; sacrifice; crack; slit||open; clear; liberal-minded; generous; to exempt; to remit
豉	salted fermented beans
豌	peas
豚	suckling pig
豹	leopard/panther
豺	dog-like animal/ravenous beast/dhole (Cuon Alpinus)/jackal
贞	chaste
赦	to pardon (a convict)
赫	surname He; awe-inspiring; abbr. for 赫茲|赫兹[he4 zi1], hertz (Hz)
轧	surname Ya||to crush together (in a crowd); to make friends; to check (accounts)||to crush; to knock sb down with a vehicle||to roll (steel)
邕	Yong River (Guangxi); short name for Nanning (Guangxi); city surrounded by a moat; old variant of 雍[yong1]; old variant of 壅[yong1]
邦	(bound form) country; nation; state
釉	glaze (of porcelain)
靖	surname Jing; (bound form) peaceful; (bound form) to pacify; to suppress
靓	to make up (one's face); to dress; (of one's dress) beautiful||attractive; good-looking
靡	to waste (money)||extravagant; go with fashion; not
腼	bashful
靥	dimple
靴	boots
韩	Han, one of the Seven Hero States of the Warring States 戰國七雄|战国七雄/Korea from the fall of the Joseon dynasty in 1897/Korea, esp. South Korea 大韓民國|大韩民国/surname Han
韫	contain
韵	the final (of a syllable) (Chinese phonology)/rhyme/appeal/charm/(literary) pleasant sound
飓	hurricane
馗	cheekbone/crossroads/high
馥	fragrance/scent/aroma
馨	fragrant
驹	colt
骇	to astonish/to startle/to hack (computing, loanword)
鬃	bristles; horse's mane; disheveled hair; horse's mane
骰	dice
骷	skeleton
骸	bones of the body
鬓	temples/hair on the temples
鬴	variant of 釜[fu3]
鬵	big iron pot/cauldron/variant of 甑[zeng4], rice pot
鬷	kettle on legs
鲑	trout/salmon
麋	surname Mi; moose; river bank
麒	used in 麒麟[qi2 lin2]
麓	foot of a hill
麾	signal flag/to signal
黏	sticky; glutinous/(Tw) to adhere; to stick on; to glue
黔	abbr. for Guizhou province 貴州|贵州[Gui4 zhou1]
黛	umber-black dye for painting the eyebrow
鼋	sea turtle
齁	to snore/thirsty from excessively salty or sweet food/(dialect) very/extremely
龅	projecting teeth
