它	it
好的	OK
假如	if
她	she
儿子	son
臂	arm
果酱	jam
王一然	Eva
天空	sky
艺术	art
取款机	ATM
上帝	God
嘿	hey
为何	why
间谍	spy
蚂蚁	ant
犹太人	Jew
总和	sum
挨着	near
波浪	wave
女人	wife
东方	east
慢	slow
冷	cold
家里	home
懒	lazy
西	west
歌曲	song
泄漏秘密	Leak
基金	fund
海军	navy
胶水	glue
王莉莎	Lisa
一半	half
数据	data
现金	cash
这里	here
这儿	here
偶像	idol
墙壁	wall
燃料	fuel
钩子	hook
性爱派对	orgy
温暖	warm
羽衣甘蓝	kale
湖泊	lake
团队	team
灰尘	dust
玉	jade
煤炭	coal
租金	rent
茂盛	lush
骑着	Ride
名词	noun
瘸	lame
代码	code
爱玩	Play
玫瑰花	rose
烤箱	oven
土壤	soil
性命	life
岩石	rock
亦	also
舟	boat
比分	score
病毒	virus
中国	China
孩子	child
当地	local
少	young
传媒	media
南	south
从不	never
年轻	young
独自	alone
地板	floor
甜	sweet
黑色	black
西班牙	Spain
风格	style
那儿	there
那些	those
一支笔	A pen
妇女	woman
稠密	dense
葡萄	grape
价钱	price
绿色	green
黑夜	night
今日	today
曹励嘉	Erica
？	Karen
裳雅楠	Nancy
龚美丽	Meili
广萝丽	Layla
王奶婷	Netta
叶子华	David
爱师克	Isaac
乐	music
咳	cough
宽度	width
泪	tears
这些	these
市长	mayor
大腿	thigh
手肘	elbow
废墟	ruins
夜	night
小偷	thief
视频	video
人群	crowd
小组	group
扫	broom
大堂	lobby
固体	solid
月份	month
寿司	sushi
少儿	child
桃	peach
味儿	taste
钢铁	steel
新娘	bride
向导	guide
寂静	quiet
响声	noise
直到	until
天使	angel
土茴香籽	cumin
血液	blood
用法	usage
湿润	moist
实话	truth
埃及	Egypt
炉灶	stove
亚洲人	Asian
魔鬼	devil
魔术	magic
奴隶	slave
丘陵	hills
棕色	brown
谣言	rumor
面团	dough
伊斯兰教	Islam
围裙	apron
胸膛	chest
肿瘤	tumor
癌症	cancer
把	handle
把	handle
把	handle
安详	serene
六	six; 6
博物馆	museum
奔跑	to run
诚实	honest
车库	garage
分钟	minute
备份	backup
长度	length
成员	member
产量	output
扣	button
飞	to fly
橙子	orange
窗子	window
樱桃	cherry
点头	to nod
读者	reader
冬季	winter
看到	to see
里边	inside
而是	rather
一首歌	a song
歌手	singer
夏	summer
番茄	tomato
见到	to see
礼拜天	Sunday
流利	fluent
总是	always
律师	lawyer
会员	member
公众	public
化石	fossil
孤儿	orphan
老是	always
网上	online
复活节	Easter
精力	energy
街头	street
有用	useful
动脉	artery
人们	people
慢慢	slowly
瑞典	Sweden
勿	do not
县	county
凉鞋	sandal
领袖	leader
一棵树	a tree
一场雨	A rain
一场雪	A snow
校园	campus
一万	10,000
信号	signal
一顿饭	a meal
球拍	racket
酸奶	yogurt
抽屉	drawer
一条鱼	a fish
胆小鬼	coward
岛屿	island
连帽衫	hoodie
兔	rabbit
夏季	summer
歐楂	medlar
污水	sewage
一张纸条	a memo
一个梗	a meme
监狱	prison
小扁豆	lentil
氧气	oxygen
心水	salary
中等	medium
赌场	casino
一个湖	A lake
清真寺	mosque
穆斯林	Muslim
棉花	cotton
以色列	Israel
蜘蛛	spider
配偶	spouse
舞蹈家	dancer
乞丐	beggar
强奸犯	rapist
贪心	greedy
俄罗斯	Russia
贪钱	greedy
神殿	shrine
隧道	tunnel
面筋	gluten
麸质	gluten
犹太洁食	kosher
主教	bishop
狭窄	narrow
虚荣	vanity
旋律	melody
液体	liquid
预算	budget
枕头	pillow
殖民地	colony
语法	grammar
百分之	percent
四	four; 4
五	five; 5
已经	already
被动	passive
九	nine; 9
十	ten; 10
喂	to feed
找到	to find
车辆	vehicle
出租	to rent
朝	morning
面条	noodles
天气	weather
下雨	to rain
渴	thirsty
卡拉OK	Karaoke
一张照片	a photo
海鲜	seafood
打印机	printer
网站	website
公民	citizen
公式	formula
一只眼睛	one eye
周末	weekend
歌唱	to sing
