它	tā
的	de
好	hǎo
好的	hǎo de
假	jiǎ
假如	jiǎrú
如	rú
她	tā
儿子	érzi
子	zi
儿	r
臂	bì
果酱	guǒjiàng
果	guǒ
酱	jiàng
一	yī
然	rán
王一然	wáng yīrán
王	wàng
空	kōng
天空	tiānkōng
天	tiān
术	zhú
艺术	yìshù
艺	yì
款	kuǎn
机	jī
取款机	qǔkuǎnjī
取	qǔ
上帝	shàngdì
上	shàng
帝	dì
嘿	hēi
为	wèi
为何	wèihé
何	hé
谍	dié
间	jiàn
间谍	jiàndié
蚂	mà
蚁	yǐ
蚂蚁	mǎyǐ
太	tài
人	rén
犹太人	yóutàirén
犹	yóu
总	zǒng
和	hé
总和	zǒnghé
挨着	āizhe
着	zhe
挨	ái
浪	làng
波	bō
波浪	bōlàng
女人	nǚrén
女	rǔ
东方	dōngfāng
东	dōng
方	fāng
慢	màn
冷	lěng
里	lǐmiàn
家	jiā
家里	jiālǐ
懒	lǎn
西	xī
歌	gē
曲	qū
歌曲	gēqǔ
秘	mì
泄漏秘密	xièlòu mìmì
密	mì
漏	lòu
泄	xiè
基金	jījīn
金	jīn
基	jī
海军	hǎijūn
军	jūn
海	hǎi
胶	jiāo
水	shuǐ
胶水	jiāoshuǐ
莉	lì
莎	suō
王莉莎	wáng lìshā
一半	yībàn
半	bàn
数	shǔ
据	jù
数据	shùjù
现金	xiànjīn
现	xiàn
这	zhè
这里	zhèlǐ
这儿	zhèr
像	xiàng
偶像	ǒuxiàng
偶	ǒu
墙	qiáng
墙壁	qiángbì
壁	bì
料	liào
燃	rán
燃料	ránliào
钩	gōu
钩子	gōuzi
派	pài
对	duì
性爱派对	xìngài pàiduì
性	xìng
爱	ài
暖	nuǎn
温暖	wēnnuǎn
温	wēn
衣	yì
羽衣甘蓝	yǔyī gānlán
甘	gān
羽	yǔ
蓝	lán
湖泊	húpō
泊	pō
湖	hú
团队	tuánduì
团	tuán
队	duì
尘	chén
灰尘	huīchén
灰	huī
玉	yù
炭	tàn
煤炭	méitàn
煤	méi
租金	zūjīn
租	zū
茂盛	màoshèng
盛	chéng
茂	mào
骑	qí
骑着	qízhe
名	míng
词	cí
名词	míngcí
瘸	qué
代码	dàimǎ
码	mǎ
代	dài
玩	wán
爱玩	àiwán
瑰	guī
玫	méi
玫瑰花	méiguīhuā
花	huā
箱	xiāng
烤	kǎo
烤箱	kǎoxiāng
壤	rǎng
土壤	tǔrǎng
土	tǔ
性命	xìngmìng
命	mìng
石	shí
岩	yán
岩石	yánshí
亦	yì
舟	zhōu
比分	bǐfēn
分	fēn
比	bǐ
病	bìng
毒	dú
病毒	bìngdú
中国	Zhōngguò
国	guó
中	zhòng
孩	hái
孩子	háizi
当	dāng
地	de
当地	dāngdì
少	shǎo
传媒	chuánméi
媒	méi
传	zhuàn
南	nán
从不	cóngbù
从	cóng
不	bù
年轻	niánqīng
轻	qīng
年	nián
独自	dúzì
自	zì
独	dú
地板	dìbǎn
板	pàn
甜	tián
黑色	hēisè
黑	hēi
色	shǎi
牙	yá
班	bān
西班牙	xībānyá
风格	fēnggé
格	gé
风	fēng
那	nuó
那儿	nàr
些	xiē
那些	nàxiē
笔	bǐ
一支笔	yīzhī bǐ
支	zhī
妇女	fùnǚ
妇	fù
稠	chóu
稠密	chóumì
萄	táo
葡	pú
葡萄	pútao
价	jie
钱	qián
价钱	jiàqian
绿色	lǜsè
绿	lǜ
夜	yè
黑夜	hēiyè
今	jīn
日	rì
今日	jīnrì
曹励嘉	cáo lìjiā
曹	cáo
励	lì
嘉	jiā
？	？
裳	shang
裳雅楠	cháng yǎnán
楠	nán
雅	yǎ
丽	lì
美	měi
龚美丽	gōng měilì
龚	gōng
广	guǎng
萝	luó
广萝丽	guǎng luólì
婷	tíng
王奶婷	wáng nǎitíng
奶	nǎi
叶子华	yè zihuá
叶	yè
华	huá
克	kè
爱师克	àishīkè
师	shī
乐	yuè
咳	ké
宽	kuān
宽度	kuāndù
度	duó
泪	lèi
这些	zhèxiē
市	shì
市长	shìzhǎng
长	cháng
腿	tuǐ
