寶媽	mom
南方	south
俱乐部	club
领导	leader
没错	correct
只好	have to
名额	quota
爆表	off the charts
稿件	manuscript
随手	conveniently
特征	characteristic
上台	rise to power
熟肉	cooked meat
完了	finished
叨逼叨	gabble
遗传	heredity
线路	line
取關	unfollow
约束	restriction
多元	multi-
萌芽	sprout
抄袭	plagiarize
热泪盈眶	tears of excitement
人性	human nature
神态	appearance
使命	mission
释放	release
喜闻乐见	well received
涌现	emerge
半天	half of the day
不如	not as good as
上班	go to work
觉得	feel
关上	close
冲击	attack
复制	copy
不愧	worthy
抖腿黨	leg-shaking gang
对抗	withstand
高等	high-level
贡献	contribute
亲戚	relative
开展	launch
提前	in advance
请客	entertain
随时	at any time
优点	merit
手欠	prone
錢妞	Kesha
权利	right
搜索	search
顾虑	misgivings
总统	president
蛇精病	crazy
计较	haggle
早晚	morning and evening
莫名其妙	baffling
窍门	trick
上游	upper
提炼	extract
惋惜	regret
