泡泡	bubbles
直播经济	Live broadcast economy; 
非得	Must; (followed by a verb phrase, then – optionally – 不可, or 不行 etc) must
送气	aspiration; aspiration (phonetics, explosion of breath on consonants distinguishing Chinese p, t from b, d)
维基百科	Wikipedia; Wikipedia (online encyclopedia)
信（动）	believe; trust; 
星球大战	Star Wars
带货直播	Live broadcast with goods; 
喂（叹）	hello; hey; 
相亲角	blind date corner; "matchmaking corner", a gathering in a park for parents who seek marriage partners for their adult children by connecting with other parents who put up posters displaying their unmarried child's details
朝鲜🇰🇵	North Korea; 
齿龈后音	postalveolar sound; 
…极了	extremely; exceedingly; 
加强语气	Strengthen the tone; 
不染尘	Untainted by dust; 
有劲儿	strong; energetic; 
机器翻译	machine translation
几千年前	thousands of years ago; 
假定	assumed, assumption; to assume; to suppose; supposed; so-called; assumption; hypothesis
藏语	Tibetan language
拖拉机	tractor; tractor/CL:台[tái]
敲 	knock on the door, or type; 
会（名）	meeting; gathering; conference; union; party; 
靠谱	reliable; reasonable; probable
屏幕🖥	Screen 🖥; 
大概了解	roughly understand; 
该是你的	It should be yours; 
纯律	Just intonation; 
分号	semicolon; semicolon (punct.)
A改变B	A changes B; 
音程	interval (music)
乡土中国	rural China (book); 
零｜〇	zero; 
青旅	hostel; youth hostel; abbr. for 青年旅舍[qīng nián lu:3 shè]
老奶奶	granny; (coll.) father's father's mother; paternal great-grandmother; respectful form of address for an old woman
胚子	Embryon; 
我醒了	I woke up; 
一米五五	1.55 meters; 
前提条件	Prerequisites; preconditions
网球馆	tennis hall; 
家养的	domesticated; 
社交活动	social activities / social interaction; 
冰沙	Smoothies; slushie; smoothie; crushed ice drink; frappucino
省（名）	province; 
不一会儿	in a moment; in a little while; soon; 
行李牌	Luggage tag; 
土（形）	local; native; folk; indigenous; unfashionable; 
公司收入	company revenue; 
面试官	interviewer; 
唐朝	Tang Dynasty; Tang dynasty (618-907)
代 	to replace ; 
雅思	IELTS; IELTS (International English Language Testing System)
匿名的	anonymous; 
h -k	h -k; 
研究人员	researcher; research worker; research personnel
王嘉尔	Jackson Wang; 
小众	niche; minority of the population; non-mainstream (activity, pursuit etc); niche (market etc)
多巴胺	dopamine
毕业旅行	graduation trip; 
马蜂	wasp; hornet
十个组	ten groups (of people); 
辅音	consonant
鼻窦炎	sinusitis
负债	loan; liability/ to be in debt; to be in debt; to incur debts; liability (finance)
爱狮克	ISAG; 
软腭化	Velarization; 
羊驼毛	alpaca wool; 
冒号	colon; colon (punct.)
那（代）	that; 
所（助）	(auxiliary word); 
君主斑蝶	monarch butterfly; 
一面镜子	a mirror; 
