君子	noble
开辟	establish
转让	transfer
子弹	bullet
主持人	presenter
脉搏	pulse
同性恋	homosexuality
派遣	send
批发	wholesale
偏僻	remote
充电宝	charger
起草	draft
起初	originally
请柬	invitation
请帖	invitation
偷听	eavesdrop
野外	countryside
水利	water conservancy
天伦之乐	family joy
跳跃	jump
新颖	original
噪音	noise
知足常乐	satisfied
爱情	romance
暧昧	ambiguous
半夜	midnight
非常	very
不错	good
不够	insufficient
医院	hospital
草地	lawn
弟弟	younger brother
时候	time
卑鄙	despicable
医生	doctor
氪金	in-app purchase
关心	concern
诚信	honesty
待遇	treatment
肚子	belly
抽奖	lottery
丰富	rich
此前	before
大熊猫	giant panda
大于	greater
大致	roughly
发明	invent
地位	position
合理	rational
动员	mobilize
基本	basic
为了	for
各种	various
借口	excuse
繁殖	breed
遇到	meet
汽车	car
注意	pay attention
联合	combine
现代	modern
苗条	slim
