271	iQiyi
520	I love you
G点	G-spot
第X弹	No. X shot
三岁	Three-year-old
三连	A string of three
上头	On top of
乃们	You guys
乱入	Random enter
交给	To give
人设	Character design
你国	Your country
傲娇	Unfriendly and blunt
元气	Vitality
入画	Enter picture
内个	That one
冲鸭	Run duck
凉凉	Slightly cold
划掉	Cross out
卖腐	Sell gayness
厂牌	Brand
友尽	End of friendship
双标	Double standard
反转	Reversal
发糖	To give out candies
取关	To unfollow
古风	Old style
叫兽	Roaring beast
吓尿	Spooked pee
吸猫	To dote on cats
喷子	Internet troll
围笑	Surround smile
国漫	Chinese comics
土创	Indigenous & Unrefined Create
在线	Online
墙内	On this side of the wall
墙外	On the other side of the wall
墙裂	Wall crack
壮士	Hero
声控	Voice freak
备胎	fallback
奔现	meet-up
女频	female novels
娇嗔	coquettish
娇羞	bashful
定档	release date
宝妈	mom
实锤	solid proof
宠溺	indulgent
岛国	island nation
干货	knowledge
应援	show support
废柴	good-for-nothing
开挂	cheat
开画	movie premiere
开黑	audio chat
弃坑	abandon
强排	strongly support
总攻	take charge
情怀	feelings
懒癌	laziness
戏精	drama queen
戾气	evil tendencies
手贱	prone to touch
打脸	debunk
扶墙	shock
担当	take upon
拍砖	criticize
搬运	transport
摊手	throw up hands
撞脸	look alike
撩骚	flirt
擦妈	Christina Aguilera
收图	collect pictures
斗图	compete with pictures
断眉	Charlie Puth
新专	new album
无感	no feeling
暴击	critical hit
有范	stylish elegance
杏红	Affectionate nickname
某宝	Euphemism
楼主	Original poster
水军	Internet poster
湾湾	Nickname for Taiwan
灭霸	Thanos
炒鸡	Extremely
炮总	Nickname for Paul Bettany
炸号	Deactivated account
烧脑	Intellectually challenging
热单	Hit single
然后	Then
然鹅	However
煞笔	Final remarks
照骗	Flattering photo
狗头	Ironic emoticon
狗带	Go away
狗粮	Public display of affection
猫奴	Cat owner
现充	Fulfilling life
甜宠	Sweet and pampering
甩锅	Shift the blame
男频	Male novels
砖家	Charlatans
碾压	To trounce
私货	Personal opinion
种草	To recommend a product
秒删	To delete swiftly
站队	To take sides
粉头	Prostitute
粗来	Come out
粗线	To appear
紧脏	Nervous
约炮	One night stand
绿光	Mockery
绿绿	Muslims
网感	Level of interactivity
网红	Internet celebrity
网绿	Cheated on by partner
翻墙	Breach the Great Firewall
翻红	popular again
老湿	lecherous teacher
聊骚	flirting
背锅	scapegoat
脏辫	dreadlocks
脑斧	tiger
脑残	moronic
脑洞	creativity
脱粉	stop being a fan
脱线	derailment
脱饭	stop being a fan
脸大	bold
腻害	awesome
膨胀	inflate
节操	integrity
菇凉	girl
补档	re-upload
视奸	leer
讲真	honestly
诬陷	frame
赛高	awesome
走肾	infatuation inducing
赶脚	carter
跳戏	unconvincing performance
躺枪	unfairly targeted
车震	car sex
软妹	feminine
轰趴	party
轻拍	gentle criticism
这货	this dude
追剧	binge-watch
逆袭	counterattack
钟黑	Wallace Chung detractors
钱妞	Kesha
锁场	lock the auditorium
锤哥	Chris Hemsworth
阔以	can
雾草	euphemism for "I fuck"
颜控	attaches importance to good looks
颜狗	person attracted to good-looking people
颜艺	facial expression
饭制	fan-made
饭拍	fan-shot
鲈鱼	bass/perch
鹅厂	Tencent
黄桑	Emperor
一丢丢	a tiny bit
严肃脸	stern-faced
丧文化	vegetating subculture
举高高	hoist high
么么哒	gentle kiss
习大大	Papa Xi
买买买	splurge
买家秀	customer’s demo
云吸猫	cat lovers
五毛党	fifty cents party
亲妈粉	birth mother fans
什么鬼	What the devil
会聊天	know how to chat
伟光正	great, honorable, correct
传送门	portal
何老师	Teacher He
养成系	developing type
内心戏	psychological drama
凤凰男	countryside guy
分分钟	instantly
劳模姐	model worker sister
单身汪	single
卖家秀	seller’s demo
原著党	original work party
双标狗	double standard
史诗级	epic
吓出翔	scare the crap out of me
回忆杀	memory kill
土肥圆	unsophisticated, fat, round
圣诞趴	Christmas party
地图炮	discrimination
城会玩	urban residents know how to have fun
处女脸	virgin face
天啦噜	zoikes
女司机	inexperienced driver
女权婊	anti-feminist
女权癌	anti-feminist
妈卖批	vulgar insult
宇宙观	worldview
小公举	non-macho
小确丧	frustrated
小鲜肉	teen idol
小黄书	erotic literature
尴尬症	embarrassment
尴尬癌	embarrassment
居老师	nickname
带节奏	instigate
并没有	not really
广萝丽	Layla
开封菜	KFC
怎么破	how to solve
我们家	our home
打篮球	play basketball
扣扣熊	Stephen Colbert
技术宅	indoorsy geek
抖机灵	show off wit
抖腿党	jittery legs
抱紧我	hold me tight
摸头杀	head caress
撒狗粮	lovey-dovey
斯巴达	Sparta
既视感	déjà vu
智商税	stupid tax
本宝宝	play cute
杀马特	urban migrants
李泽言	Li Zeyan
标题党	clickbait
歪个楼	digress
毁童年	destroy childhood
汤老湿	Tom Hardy
没眼看	hideous
没节操	unethical
活久见	incredible
渣渣辉	Nick Cheung
滚床单	have sex
然并卵	ultimately useless
爱无能	inability to love
猫系男	catlike man
王奶婷	Netta
玛丽苏	Mary Sue
男闺蜜	woman’s male confidante
画风​	painting style
痴汉脸	infatuated man’s face
白嫖饭	fans who patronize for free
白莲花	pretend to be kind
真爱粉	true love fan
砸简历	smash resumes
碎碎念	prattle
禁欲系	abstinent sect
系领带	wear a tie
纽扣儿	button
结石姐	Sister Calculus
绿茶婊	calculating and manipulative
老司机	an old hand at sth
老干部	old cadres
肉体饭	body fan
背锅侠	scapegoat
脑残粉	fanboy/fangirl
自干五	person who posts online in support of the Chinese government
萌萌哒	adorable
葛优瘫	Ge You slouch
蛋妞儿	Egg lass
装逼犯	boast criminal
裳雅楠	Nancy
诺兰黑	Christopher Nolan detractors
课代表	class representative
谢耳朵	Xie Ear
负能量	negative energy
赛金花	Seth Meyers
踢足球	play football
蹭热度	piggyback on popularity
躁起来	get excited
送分题	very easy question
送命题	dangerous question
逆生长	rejuvenation
配一脸	compatible
金拱门	McDonald's
铲屎官	pet owner
键盘侠	keyboard warrior
陈大发	Ivy Chen
陈独秀	Chen Duxiu
陈老师	Edison Chan
领盒饭	receive a boxed meal
马杀鸡	massage
高仿号	fake celebrity accounts
高级脸	high-end face
麻辣鸡	Nicki Minaj
黑历史	embarrassing past
龚美丽	Meili
上头姐妹	intoxicated sisters
不会聊天	inept at chatting
不喜勿喷	don't rant if you don't like
不忍直视	cannot bear to look
