眼熟	familiar
本（量）	book
局（名）	bureau
副（量）	measure word
批（量）	measure word
一番	one time
那（连）	then
妈妈｜妈	mom
零｜〇	zero
他归罪我	blamed
老（形）	old
毛（名）	fractional unit of money
报（名）	newspaper
分行	branch
爸爸｜爸	dad
省（名）	province
才（名）	ability
牛（形）	stubborn
白（副）	in vain
摔进	fall in
把（介）	particle
表里不一	inconsistent
喂（叹）	hello
胚子	embryon
靠谱	reliable
放到	put to
花（动）	spend
不太	not too
关（名）	pass
围栏	fencing
批（动）	criticize
不一会儿	soon
两（数）	two
归主	return to the Lord
老（副）	always
奴才斗胆	dares
叫（动）	call
料（名）	material
傻逼	dumbass
…极了	extremely
省（动）	economize
弟弟｜弟	younger brother
开启	open
信（名）	letter
为（动）	act as
正（形）	straight
为（介）	preposition
平手	draw
算我一个	count me in
节（动）	economize
两（量）	unit of weight
背（名）	back
火（形）	fiery
支（动）	put up
那（代）	that
次（量）	times
哥哥｜哥	elder brother
尝尝	try
隧洞	tunnel
有要事	something important
首（量）	measure word
一种直觉	intuition
见过	seen
夺剑	seize the sword
…分之…	fractional number
火（名）	fire
会（动）	can
怕（动）	be afraid
刻（量）	quarter
好（副）	well
白（形）	white
头（形）	lead
土（名）	soil
该（动）	deserve
好（形）	good
关（动）	shut
次（形）	second-rate
局（量）	measure word
指着	point
才（副）	only
刻（动）	carve
有劲儿	strong
妹妹｜妹	younger sister
生（动）	give birth
挺（动）	stand
定然	certainly
牛（名）	cattle
别（动）	do not
挺（副）	very
料（动）	expect
怪（动）	blame
米（量）	meter
发动战争	wage a war
封（量）	measure word
痛（形）	sore
要（动）	want
打（介）	since
怕（副）	perhaps
所（助）	auxiliary word
下（量）	measure word

花	flower
对	right
首	head
站	station
背	carry on the back
天生贱胚	jerk
送到	sent to
车上	in the car
回	measure word
像	resemble
花	multicoloured
不染尘	untainted
正	just
浙江	Zhejiang
成	become
信	believe
能不能	can or not
别	Don’t
该是你的	It should be yours
把	measure word
叫	preposition
毛	fractional unit of money
要	if
默契	tacit understanding
任	no matter
封	seal
排水	drain
站	stand
多	much more
支	measure word
宇宙飞船	UFO
命大	lucky
城里	inside the city
姐姐	elder sister
分	divide
成	measure word
一毒攻毒	One poison to fight poison
气派宏伟	magnificent
土	local
命	life
签	sign
眼里	within one’s vision
会	meeting
漏水	water leakage
任	appoint
喂	feed
回	go back
屏幕	Screen
排	arrange
米	meter
并	combine
很难说	hard to say
打	hit
这小滑头	This little rascal
生	unripe
副	secondary
等	wait

背	carry
副	secondary
像	resemble
站	station
生	unripe
喂	feed
等	wait
封	seal
要	if
成	measure word
首	leader
任	appoint
毛	fractional unit
回	return
屏幕	screen
命	fate
别	Don't
会	meeting
站	stand
把	measure word
回	measure word
土	local
信	believe
并	combine
花	multicoloured
多	much more
任	no matter
成	become
支	measure word
签	sign
叫	preposition
正	exactly
排	arrange
姐姐	elder sister
分	divide
米	meter
对	right
花	flower
打	hit

姐姐	elder sister
屏幕	screen 

六四事件	Tiananmen Incident
五年计划	Five-Year Plan
刺绣	embroidery
睡袋	sleeping bag
反腐	anti-corruption
书呆	nerd
表白爱情	confess love
大白天	daylight
语法格	grammatical case
捷克语	Czech
刺眼	dazzling

